beta,alpha,delta
0.3671,0.17029,0.021412999999999998
0.5629,0.43041999999999997,0.016809
0.5542699999999999,0.37456999999999996,0.024524
0.43893999999999994,0.28401,0.011219
0.40755,0.27755,0.016819999999999998
0.54397,0.19261,0.019702
0.54661,0.41886999999999996,0.010366
0.25222,0.11195,0.010126999999999999
0.44317,0.29802,0.045349
0.19049000000000002,0.13787,0.049164
0.38736,0.14559,0.02688
0.27154,0.16982,0.035619
0.75975,0.6716300000000001,0.048872000000000006
0.53837,0.2049,0.013309
0.5503899999999999,0.14577,0.033925
0.5169699999999999,0.12127,0.036717
0.78696,0.48896999999999996,0.013124
0.7149,0.54693,0.012273000000000001
0.24195,0.14085,0.023797
0.48623,0.1272,0.014138999999999999
0.42043,0.2603,0.027783
0.20554,0.1513,0.017866999999999997
0.39155,0.11895,0.047786
0.72636,0.35214,0.017478999999999998
0.71403,0.18641,0.011061
0.66573,0.1433,0.023235
0.57557,0.35239000000000004,0.048722
0.60677,0.20915,0.016935
0.37396,0.16380999999999998,0.016536000000000002
0.38391,0.25199,0.017415
0.5889,0.41352,0.024531
0.20997,0.14485,0.039
0.27324,0.13535999999999998,0.038588
0.5571699999999999,0.48758999999999997,0.029233999999999996
0.49756999999999996,0.10335,0.013755000000000002
0.31599,0.13871,0.029705000000000002
0.39631,0.31651999999999997,0.045869
0.3315,0.26432,0.024926
0.77064,0.5163,0.049772000000000004
0.43718999999999997,0.17736,0.02812
0.30803,0.20915,0.046872000000000004
0.68684,0.25841,0.010754000000000001
0.24529,0.12384,0.049348
0.52583,0.19710999999999998,0.048204000000000004
0.40936999999999996,0.35084,0.04065
0.16627999999999998,0.10032,0.012403
0.76885,0.68272,0.017812
0.42756000000000005,0.35559,0.017525
0.20989000000000002,0.10647999999999999,0.011266
0.39359,0.19097,0.048563999999999996
0.48696999999999996,0.15070999999999998,0.031272
0.42700000000000005,0.1968,0.046908
0.67356,0.21088,0.048111
0.5314300000000001,0.19791,0.029002999999999998
0.29902,0.15591,0.049934
0.66125,0.23783,0.045442
0.4836,0.15118,0.027471
0.65692,0.13111,0.036902
0.7804,0.17247,0.036226
0.7008800000000001,0.20892,0.032982
0.63846,0.25594,0.027485000000000002
0.23399,0.13537000000000002,0.012983000000000001
0.47721,0.35594000000000003,0.033339999999999995
0.3374,0.18193,0.04931
0.31656999999999996,0.1906,0.02486
0.53488,0.12215999999999999,0.043639
0.27301,0.13051,0.014186
0.74836,0.37281,0.011012000000000001
0.55592,0.29986999999999997,0.023565
0.17417,0.1238,0.033197000000000004
0.515,0.10895999999999999,0.044448
0.25771,0.20583,0.011203
0.45693999999999996,0.36651,0.034401
0.6856899999999999,0.52628,0.045096
0.36664,0.26108000000000003,0.033322000000000004
0.45501,0.16414,0.03526
0.20006,0.12149000000000001,0.015149000000000001
0.41711000000000004,0.16257,0.027872000000000004
0.21051999999999998,0.12107000000000001,0.031745999999999996
0.6522100000000001,0.34789000000000003,0.018975
0.79094,0.46399999999999997,0.01987
0.6069100000000001,0.23756,0.048197000000000004
0.6996100000000001,0.13438,0.013787
0.15753,0.1074,0.019767
0.6382800000000001,0.35634,0.041104
0.32308000000000003,0.21065,0.047492
0.24276999999999999,0.12161,0.047327
0.16942000000000002,0.10484,0.038777
0.26359,0.12613,0.031139999999999998
0.25176,0.19879000000000002,0.022466
0.22049000000000002,0.14514000000000002,0.012806999999999999
0.5489,0.25479,0.017605000000000003
0.43278999999999995,0.38140999999999997,0.034058
0.25309,0.19430999999999998,0.026233
0.57745,0.43349,0.019403999999999998
0.72248,0.42958999999999997,0.026726
0.41698999999999997,0.18717,0.027426999999999997
0.43664,0.12269000000000001,0.016102
0.48377,0.36741,0.045547000000000004
0.6897800000000001,0.29381,0.025126
0.20443,0.14651,0.036549
0.6696300000000001,0.1196,0.042638
0.48158,0.34399,0.011825
0.31123,0.15350999999999998,0.021532
0.21966,0.13179000000000002,0.037502999999999995
0.65882,0.43259,0.038014
0.6409600000000001,0.34633,0.02412
0.17411,0.10037,0.039642000000000004
0.52996,0.23438,0.03461
0.15229,0.10056,0.03317
0.46808999999999995,0.41778000000000004,0.042429
0.38544,0.19345,0.011368000000000001
0.74366,0.3918,0.019994
0.48173999999999995,0.14290999999999998,0.033664
0.20348,0.147,0.038167
0.75124,0.12545,0.037987
0.31316,0.21768,0.030399000000000002
0.46625,0.33539,0.010296
0.45133,0.14765999999999999,0.036719
0.76368,0.11372,0.021141999999999998
0.62432,0.51183,0.041412
0.73674,0.61163,0.033378
0.47313999999999995,0.37848000000000004,0.04494
0.5223800000000001,0.11694,0.033933
0.17717,0.10697000000000001,0.03754
0.47105,0.40633,0.016615
0.33349,0.11937,0.026895999999999996
0.344,0.10146000000000001,0.021729
0.17031,0.10288,0.018625
0.6048399999999999,0.24361,0.044423000000000004
0.42873,0.29388000000000003,0.039798
0.63081,0.42806000000000005,0.025727
0.2873,0.17439000000000002,0.039537
0.58892,0.25829,0.037516
0.50379,0.43346,0.028343
0.42558,0.16654000000000002,0.012381
0.68002,0.56755,0.027547000000000002
0.6559999999999999,0.57457,0.040862
0.6199600000000001,0.30669,0.0281
0.34501,0.24478000000000003,0.026394
0.4566,0.23731999999999998,0.045208
0.20387,0.13895,0.018796
0.4247,0.20138,0.039136000000000004
0.4721,0.15846,0.016579
0.21306,0.13357,0.031971
0.20836,0.11737,0.026069
0.79242,0.40858,0.042503
0.47103999999999996,0.21561999999999998,0.046227
0.37253000000000003,0.25764000000000004,0.03517
0.41556000000000004,0.33523000000000003,0.014315999999999999
0.64245,0.38561,0.022519
0.22008000000000003,0.11149,0.012119
0.30458,0.20955,0.024293000000000002
0.19721,0.10727,0.049666
0.34517,0.17234000000000002,0.023463
0.22796999999999998,0.13085,0.022828
0.44348999999999994,0.25428,0.01952
0.74841,0.5532600000000001,0.024887
0.45571000000000006,0.35078000000000004,0.043976
0.63569,0.44203000000000003,0.028526
0.37819,0.14943,0.011073999999999999
0.7941,0.62122,0.016536000000000002
0.32189,0.23281999999999997,0.025901
0.49893999999999994,0.15047,0.026157999999999997
0.18692,0.11947999999999999,0.015685
0.76903,0.32284,0.012827000000000002
0.6212,0.19777999999999998,0.044755
0.44578,0.33712,0.029769
0.5401,0.34974,0.015965
0.26545,0.18293,0.017157
0.67087,0.5454,0.046228
0.65808,0.30684,0.022021000000000002
0.52672,0.36561,0.040516
0.18402000000000002,0.12168,0.037177999999999996
0.66814,0.23481,0.043631
0.44009,0.21131,0.016899
0.38916,0.24126,0.015563999999999998
0.30498000000000003,0.15159,0.014676
0.49649,0.19022,0.031718
0.67435,0.43383,0.038298
0.67003,0.59928,0.016133
0.15825999999999998,0.10357000000000001,0.04215
0.78919,0.1504,0.044001
0.51299,0.41923,0.043604000000000004
0.41818999999999995,0.23281999999999997,0.032952999999999996
0.78417,0.63677,0.010234
0.55778,0.41243,0.02825
0.2095,0.10287,0.026017000000000002
0.28962,0.20515999999999998,0.029389
0.21484,0.14098,0.019456
0.78593,0.69794,0.036673000000000004
0.43601999999999996,0.38140999999999997,0.047622000000000005
0.26136,0.10817,0.021403
0.72242,0.21649000000000002,0.022144
0.51298,0.16837,0.047407
0.6952,0.26607,0.025994
0.79656,0.23501,0.030068
0.5897100000000001,0.2423,0.029439999999999997
0.24411,0.10396,0.023941999999999998
0.55489,0.40856,0.035401999999999996
0.32164,0.17192000000000002,0.018290999999999998
0.52635,0.27946,0.033647
0.68123,0.30623,0.020212
0.6129,0.13263,0.016266
0.58052,0.18118,0.049975
0.43472,0.38031,0.040253
0.43668999999999997,0.37881,0.035419
0.53995,0.29586,0.041431
0.3363,0.10629000000000001,0.010151
0.7320800000000001,0.51422,0.043848000000000005
0.36396999999999996,0.27253,0.023313999999999998
0.23487,0.15279,0.038523
0.48503999999999997,0.23528000000000002,0.029143000000000002
0.30105,0.18157,0.02134
0.61624,0.12691,0.047077999999999995
0.20763,0.10654000000000001,0.013857
0.77384,0.10141,0.031776
0.60646,0.16532,0.015972999999999998
0.16699999999999998,0.10065,0.044893999999999996
0.7682,0.15737,0.027576
0.26502,0.14479,0.029875
0.62145,0.10644,0.048086000000000004
0.31082,0.24684,0.026432999999999998
0.37773,0.27186,0.036467
0.35279,0.23924,0.036775
0.25725,0.17712,0.018146000000000002
0.79209,0.27097,0.021963999999999997
0.50526,0.28476,0.046389
0.43542,0.31786,0.032535
0.47036000000000006,0.39045,0.045627
0.78672,0.20661999999999997,0.031667
0.24891999999999997,0.14537,0.024947
0.5122,0.39987,0.0239
0.34646,0.27443,0.041932
0.48322,0.14831,0.044402
0.46112,0.20786999999999997,0.039761000000000005
0.25585,0.14984,0.039186
0.6559699999999999,0.37385,0.019469999999999998
0.79067,0.23776,0.010752
0.74838,0.36144,0.046273
0.40071,0.25776,0.025578999999999998
0.78552,0.43395,0.02299
0.7146899999999999,0.15558,0.040156
0.23661,0.10127,0.048748
0.56312,0.25493000000000005,0.023609
0.69949,0.37423,0.022002
0.67729,0.28576999999999997,0.013328999999999999
0.387,0.32069000000000003,0.04726
0.31301999999999996,0.12417,0.018175
0.29930999999999996,0.1877,0.010140999999999999
0.25979,0.20742,0.042454
0.42513,0.21006999999999998,0.027533
0.24836,0.11692000000000001,0.049066000000000005
0.171,0.11627,0.0432
0.28989000000000004,0.15105,0.04077
0.2285,0.11456,0.018196
0.66868,0.32213,0.044331999999999996
0.37123,0.25178,0.034668
0.34823000000000004,0.13922,0.032791
0.35281,0.21754,0.033623
0.20245,0.15172,0.031331
0.70532,0.49795,0.024777
0.35074,0.28515,0.049814
0.33526999999999996,0.19459,0.045439
0.51993,0.25932,0.036009
0.24294000000000002,0.15361,0.047231999999999996
0.2999,0.18745,0.013143
0.30359,0.17457,0.025952
0.76081,0.5002800000000001,0.039119
0.46147,0.37501999999999996,0.020194999999999998
0.64581,0.27409,0.012553
0.63395,0.15905999999999998,0.035443
0.5786600000000001,0.21536,0.017179
0.56881,0.39405999999999997,0.033762
0.32201,0.22335,0.011008
0.27305,0.21136999999999997,0.037488
0.20121,0.11047,0.015078999999999999
0.20714000000000002,0.13889,0.04833
0.69705,0.37449,0.048889
0.43094,0.28198,0.024112
0.36934,0.23599,0.029005
0.59173,0.10877,0.029144999999999997
0.4622,0.18404,0.02891
0.37319,0.25979,0.031136
0.53259,0.32963000000000003,0.015101
0.5785,0.18756,0.010655
0.20457999999999998,0.13566,0.028523000000000003
0.28925,0.21877,0.039323000000000004
0.68819,0.40878000000000003,0.025426
0.52054,0.45231000000000005,0.049087
0.47958,0.32927,0.044642
0.53609,0.47873000000000004,0.029852999999999998
0.56563,0.11512,0.025693999999999998
0.76323,0.63685,0.038515
0.54065,0.42245,0.025368
0.72187,0.17377,0.045728
0.79469,0.60942,0.036410000000000005
0.64641,0.56606,0.011640000000000001
0.72573,0.29886999999999997,0.018344
0.185,0.11198,0.043299000000000004
0.71767,0.63398,0.039187
0.71396,0.39292,0.013166999999999998
0.72467,0.32668,0.027802999999999998
0.64763,0.20715999999999998,0.019153
0.25826,0.14406,0.043551
0.55525,0.13392,0.016256
0.48493,0.10837000000000001,0.027094
0.5495399999999999,0.39050999999999997,0.023673
0.59031,0.37713,0.033413
0.7458,0.48417,0.028949000000000003
0.74432,0.35727,0.016006
0.7167600000000001,0.33047,0.046064
0.55738,0.21403000000000003,0.021419999999999998
0.45769,0.25144,0.045810000000000003
0.7655,0.33139,0.02217
0.28652,0.15119000000000002,0.031532
0.22005,0.12040999999999999,0.044929000000000004
0.36978,0.17169,0.038627999999999996
0.15768,0.1049,0.030075
0.25948000000000004,0.12377,0.027324
0.59887,0.52695,0.045163
0.435,0.27936,0.041416
0.43695,0.24895,0.044123
0.7785,0.33539,0.047298
0.58053,0.31898000000000004,0.024728999999999998
0.3032,0.16072,0.037494
0.16660999999999998,0.11023,0.03391
0.43191999999999997,0.17114000000000001,0.046615
0.36286,0.25489,0.034498
0.7824399999999999,0.41246000000000005,0.033972
0.4234,0.24186,0.025422
0.1899,0.11141,0.035658999999999996
0.72413,0.42188000000000003,0.040443
0.56126,0.34121,0.029636000000000003
0.5220100000000001,0.33079000000000003,0.014256999999999999
0.65377,0.30280999999999997,0.027861
0.54518,0.20726,0.033556
0.6869,0.58136,0.021311
0.69381,0.33505999999999997,0.013422
0.64364,0.30419,0.030552
0.73619,0.2442,0.020953
0.73864,0.31059000000000003,0.014735
0.70496,0.46737,0.027606
0.66535,0.23535999999999999,0.024909999999999998
0.62446,0.12274000000000002,0.040322000000000004
0.49057,0.35306,0.032519
0.5041399999999999,0.37385,0.033655000000000004
0.2389,0.12623,0.016804
0.39798,0.11160999999999999,0.015616999999999999
0.6763399999999999,0.24376,0.015352000000000001
0.32206999999999997,0.20117000000000002,0.03348
0.37111,0.23113000000000003,0.025988
0.17054,0.10042000000000001,0.024107
0.40783,0.29086,0.025219
0.7018,0.43033999999999994,0.022115
0.6503399999999999,0.24653000000000003,0.04108
0.20942,0.15257,0.02893
0.34079,0.1388,0.048276
0.44378,0.15442,0.029601
0.61739,0.25385,0.013218
0.77517,0.29175,0.023391
0.51371,0.34929,0.027035000000000003
0.36741999999999997,0.1544,0.019226
0.74185,0.57381,0.016222999999999998
0.56696,0.13802,0.044132
0.7059,0.63726,0.016224000000000002
0.45271999999999996,0.21203000000000002,0.012145999999999999
0.29017,0.14406,0.01491
0.44941000000000003,0.12594,0.033083999999999995
0.48305,0.29351,0.034812
0.72883,0.4351,0.035966000000000005
0.22926,0.16955,0.024585
0.18435,0.10298,0.025424000000000002
0.2759,0.14456,0.023809
0.77704,0.60569,0.035453
0.25563,0.15428,0.025558
0.45868000000000003,0.10752,0.049618
0.61522,0.12389000000000001,0.014445
0.69147,0.4271,0.040979
0.42806000000000005,0.17357999999999998,0.047806
0.5198699999999999,0.44835,0.028183
0.57622,0.16832,0.012071
0.41568999999999995,0.18941,0.012704
0.50485,0.32944,0.018758
0.28203,0.14867,0.016549
0.55745,0.217,0.03821
0.6932,0.51362,0.023866
0.7451,0.50898,0.04243
0.57798,0.3674,0.011713
0.77862,0.13532,0.017955000000000002
0.74729,0.54343,0.012116
0.6923199999999999,0.44911,0.044657999999999996
0.42804,0.15003,0.015327
0.59137,0.43843000000000004,0.018808000000000002
0.70092,0.24602,0.036552
0.40843,0.25428,0.017366999999999997
0.17390999999999998,0.11695,0.045328
0.35446,0.17412,0.030569
0.40591,0.19451,0.044532999999999996
0.66563,0.55116,0.017294
0.18314,0.11079000000000001,0.018461
0.3322,0.20035999999999998,0.017647
0.32625,0.12295,0.015241999999999999
0.6380600000000001,0.13539,0.042804
0.33664,0.17140999999999998,0.011298
0.49458,0.37696,0.026141
0.35218,0.21716999999999997,0.040155
0.18183,0.10747000000000001,0.038586
0.24805,0.19345,0.048908
0.48323,0.36278,0.042293
0.60101,0.16177,0.018601
0.19075,0.13022,0.029042000000000002
0.42163,0.11094000000000001,0.048563
0.21305,0.13288,0.011552
0.25903000000000004,0.11080999999999999,0.03363
0.62705,0.508,0.027512
0.46846000000000004,0.27532,0.030354000000000003
0.48253,0.30236999999999997,0.036719999999999996
0.3855,0.13657,0.049332
0.73626,0.36396,0.026357
0.76344,0.20729,0.034474
0.53801,0.33448,0.013393
0.50221,0.16742,0.038149
0.30408,0.16296,0.040382999999999995
0.53518,0.3514,0.033091
0.17506,0.12104000000000001,0.013651
0.5685899999999999,0.16318,0.048926
0.45692,0.24081999999999998,0.031439
0.18833,0.11979000000000001,0.047847
0.19443,0.13115,0.035798
0.50259,0.18902,0.018926
0.26581,0.15191,0.029889999999999996
0.17565999999999998,0.11058,0.042362000000000004
0.55478,0.29779,0.032022
0.64164,0.38793,0.026060000000000003
0.4877,0.35469,0.041332
0.38283,0.30177,0.018923
0.76936,0.4488,0.028829
0.48045,0.27755,0.045361
0.75037,0.6943699999999999,0.010029999999999999
0.7793800000000001,0.46116999999999997,0.03236
0.1993,0.11909000000000002,0.018854
0.3895,0.31901999999999997,0.015206
0.21574000000000002,0.12105999999999999,0.019753
0.21115,0.1397,0.022155
0.7090000000000001,0.33304,0.04492
0.7852399999999999,0.25665,0.028539
0.54661,0.45811,0.046287
0.54481,0.16567,0.0404
0.7107,0.18453,0.048476
0.48967,0.17252,0.024013999999999997
0.50226,0.24894000000000002,0.043
0.29732,0.23911,0.016294
0.58565,0.28283,0.041531
0.34969,0.13046,0.017105000000000002
0.7579,0.64896,0.040429
0.49083000000000004,0.42191999999999996,0.019527000000000003
0.23723000000000002,0.13725,0.033349000000000004
0.73517,0.56739,0.027530000000000002
0.20639000000000002,0.10101,0.028201
0.2253,0.10542,0.038357999999999996
0.2221,0.14202,0.037808999999999995
0.5615,0.12092,0.040260000000000004
0.19083,0.1136,0.013638999999999998
0.59311,0.41215,0.018154
0.21347,0.10937999999999999,0.043719
0.40864,0.18293,0.020968
0.5361899999999999,0.21856,0.032917
0.42983000000000005,0.29965,0.017602
0.2065,0.13457,0.048531
0.33026,0.15269000000000002,0.044084
0.7566,0.57562,0.044714
0.55684,0.25374,0.034960000000000005
0.44843999999999995,0.1084,0.010248
0.54002,0.44054,0.04931
0.6671,0.37633,0.010905
0.57214,0.30813,0.012925999999999998
0.30036,0.17234000000000002,0.049672
0.21431999999999998,0.10832,0.019815
0.6996,0.5787800000000001,0.025404
0.59372,0.36236999999999997,0.043726999999999995
0.47973999999999994,0.37548000000000004,0.044116
0.39702,0.12339000000000001,0.030856
0.60636,0.44883,0.022223
0.6673399999999999,0.58636,0.032144
0.36646,0.27610999999999997,0.024579
0.27555999999999997,0.21406,0.041397
0.38266999999999995,0.18698,0.033091
0.74625,0.4187,0.036964
0.27132,0.14140999999999998,0.031942
0.58157,0.17218,0.046995999999999996
0.49801999999999996,0.37253000000000003,0.048908
0.59663,0.23920999999999998,0.043475
0.57813,0.4492,0.021440999999999998
0.20213,0.12757000000000002,0.03196
0.67674,0.5322,0.042921
0.7386199999999999,0.5383100000000001,0.045314
0.38303000000000004,0.27049,0.018686
0.39304,0.22512,0.014322999999999999
0.68842,0.36427,0.018112
0.21915,0.13519,0.034967000000000005
0.79864,0.38476,0.0425
0.2076,0.14439000000000002,0.034543
0.72196,0.12965,0.034572000000000006
0.25484,0.11252000000000001,0.036886
0.39555,0.22671999999999998,0.024803
0.5855199999999999,0.43725,0.019365
0.2484,0.18166,0.018115
0.49914,0.31640999999999997,0.016649
0.29994,0.17698,0.019766
0.6121300000000001,0.54614,0.024983
0.5417,0.39095,0.043071
0.62435,0.24256,0.036241
0.7339899999999999,0.11481,0.024626
0.36088000000000003,0.20806,0.026941000000000003
0.73059,0.28865999999999997,0.010851999999999999
0.58555,0.2392,0.010395999999999999
0.48488000000000003,0.32594,0.013364
0.79425,0.4203,0.046676999999999996
0.19907,0.10290999999999999,0.016097
0.43228,0.16969,0.012274
0.67083,0.47617,0.038879000000000004
0.23349,0.18203,0.021634
0.79701,0.12759,0.048031
0.49662,0.2631,0.023014
0.6210600000000001,0.36934,0.037739999999999996
0.29441,0.23505,0.033867
0.32452,0.26104,0.023885
0.6665,0.37851,0.032001999999999996
0.7631,0.15693,0.025125
0.5485399999999999,0.14643,0.040868
0.3763,0.28104,0.034950999999999996
0.28570999999999996,0.20187,0.032079
0.58972,0.13089,0.029158999999999997
0.37432,0.19743,0.013149000000000001
0.43023999999999996,0.21659,0.030323000000000003
0.3073,0.10730999999999999,0.020101
0.58807,0.16439,0.042494
0.67889,0.48646999999999996,0.03653
0.50817,0.10559,0.023424
0.69676,0.23986999999999997,0.031779
0.37124,0.21195,0.023629
0.54002,0.14577,0.038745
0.17828,0.10749,0.046016
0.35324,0.2806,0.015743
0.64867,0.15175,0.030448000000000003
0.65082,0.45273,0.028182
0.55181,0.22121999999999997,0.047854
0.7225699999999999,0.62874,0.013863
0.6326,0.35172,0.048817
0.65552,0.45724,0.035171
0.57915,0.15782000000000002,0.039202
0.23917,0.17464000000000002,0.036962
0.24969,0.18914,0.0106
0.23675,0.10365,0.030692
0.41872,0.35464,0.047457
0.41294,0.33271999999999996,0.01948
0.35326,0.18969,0.033863
0.37605,0.14084000000000002,0.010022
0.7912100000000001,0.53249,0.013973
0.44367,0.2119,0.047193
0.27560999999999997,0.10424000000000001,0.026864
0.42583000000000004,0.10199,0.023819999999999997
0.66252,0.4982,0.017678
0.7903899999999999,0.68993,0.013738
0.17067000000000002,0.10187,0.026325
0.5511199999999999,0.2592,0.013475
0.47808,0.3883,0.049523000000000005
0.68693,0.20748000000000003,0.018124
0.5091899999999999,0.37926,0.039139
0.7355,0.14903,0.019693000000000002
0.25689,0.14816,0.045239
0.69415,0.34947,0.037075
0.39136,0.33878,0.046357999999999996
0.16326,0.10002,0.035009
0.35924,0.23431,0.025758999999999997
0.74975,0.66895,0.032674
0.33559,0.15659,0.019014
0.62283,0.1004,0.020709
0.15415,0.10228999999999999,0.015335
0.44735,0.37646999999999997,0.03883
0.42778999999999995,0.11087000000000001,0.03551
0.46855,0.10055,0.017803
0.58001,0.32787,0.011025
0.64166,0.16623,0.045662
0.33682,0.25076,0.023862
0.23695,0.10075,0.031728
0.40449,0.12769,0.020404
0.30088000000000004,0.19645,0.015639
0.25706,0.12165999999999999,0.011770000000000001
0.61492,0.24151999999999998,0.013916999999999999
0.41833000000000004,0.11445,0.013293000000000001
0.33848,0.16380999999999998,0.028276999999999997
0.47941000000000006,0.26878,0.035214999999999996
0.17436,0.12117,0.044008
0.578,0.44078999999999996,0.037176
0.67702,0.33871,0.031787
0.46166999999999997,0.29101,0.044985000000000004
0.34613,0.21031999999999998,0.012179
0.7791399999999999,0.23176999999999998,0.025151
0.29684,0.15847,0.038904
0.24957,0.11896,0.032379000000000005
0.40212,0.20986,0.016784
0.26188,0.14147,0.044338999999999996
0.65158,0.29562,0.011362
0.33778,0.11135,0.039151
0.5233899999999999,0.43556999999999996,0.016689
0.43814,0.30441,0.027997
0.76713,0.23753000000000002,0.027823
0.19748,0.11467000000000001,0.0227
0.5482899999999999,0.21989,0.017934000000000002
0.64346,0.34358,0.022615
0.49006000000000005,0.40375,0.025162999999999998
0.29865,0.13274,0.016442
0.58353,0.45791000000000004,0.038189999999999995
0.63721,0.37321,0.013859
0.39021,0.18715,0.038573
0.65074,0.5688,0.038757
0.61447,0.19573,0.035486000000000004
0.20207,0.10815999999999999,0.035061
0.24706999999999998,0.17304,0.029432999999999997
0.72769,0.14786,0.039672000000000006
0.44861999999999996,0.34976999999999997,0.031459
0.6510600000000001,0.24009,0.033201999999999995
0.76882,0.23467,0.03895
0.56261,0.40963999999999995,0.048714999999999994
0.35938000000000003,0.17920999999999998,0.044523
0.22855999999999999,0.11424000000000001,0.031535
0.25705,0.18331,0.046473
0.15329,0.1031,0.011222
0.44696,0.32841,0.044324
0.47063,0.35379,0.048445
0.7289899999999999,0.5331600000000001,0.03277
0.15058,0.10003,0.032117
0.16598,0.10653,0.01852
0.6048100000000001,0.53872,0.017774
0.6277699999999999,0.27288,0.043787
0.57299,0.24759,0.022458000000000002
0.73624,0.47276,0.020666
0.5732,0.10558,0.01277
0.75436,0.14844000000000002,0.022262
0.62524,0.25692,0.049968
0.20456,0.15088,0.027058
0.73422,0.5705399999999999,0.031966
0.59402,0.17808,0.026866
0.46688,0.34814,0.013502000000000002
0.56907,0.49075,0.041246
0.6691699999999999,0.17327,0.015846000000000002
0.41322,0.1848,0.035149
0.2457,0.12697999999999998,0.024953
0.73978,0.15562,0.032929
0.60216,0.32858000000000004,0.038645
0.7829,0.53981,0.046473
0.44448999999999994,0.25709,0.028567000000000002
0.34208,0.11585,0.011822
0.37565,0.1812,0.024786000000000002
0.53817,0.26641,0.040264999999999995
0.28899,0.15757000000000002,0.030052
0.6142,0.11245,0.044751
0.26743,0.21364,0.013547
0.27026,0.15672,0.049338
0.5123300000000001,0.4048,0.030781
0.5727,0.37296999999999997,0.012852
0.74105,0.13565,0.035112
0.53298,0.23105,0.045779
0.66962,0.49551000000000006,0.021337000000000002
0.61983,0.45135,0.048766000000000004
0.25615,0.19657,0.028548
0.47163999999999995,0.35474,0.047406000000000004
0.5343600000000001,0.27788,0.023594
0.6743100000000001,0.27714,0.034081
0.62375,0.47963999999999996,0.032115
0.17165,0.11294000000000001,0.024613999999999997
0.66867,0.44063,0.040652999999999995
0.66799,0.36004,0.039269
0.60854,0.42143,0.035912
0.30114,0.21383000000000002,0.024843
0.41188,0.19402,0.034301
0.70106,0.47513999999999995,0.021196
0.18933,0.11728,0.030692
0.25554,0.1784,0.042776999999999996
0.51331,0.37182,0.015211
0.72639,0.44423,0.03973
0.34035,0.26063000000000003,0.041547
0.60616,0.25877,0.029008
0.41978000000000004,0.19136,0.032674
0.37315,0.21900999999999998,0.029151999999999997
0.49991,0.2914,0.014372
0.69109,0.21161,0.021657
0.46233,0.15177000000000002,0.039949
0.4935,0.39591,0.040421
0.63138,0.32032,0.012243
0.55692,0.48926000000000003,0.029022000000000003
0.26988,0.10253,0.038053
0.46379,0.37091,0.019633
0.32582,0.13166,0.026187000000000002
0.42239,0.31767,0.019906999999999998
0.23799,0.13572,0.038669999999999996
0.6987,0.10245,0.031836
0.44259,0.23669,0.01841
0.42322,0.13305,0.020898
0.42605,0.31908000000000003,0.023896
0.66991,0.6070399999999999,0.040978
0.19409,0.14055,0.047817
0.18702,0.11575999999999999,0.019219999999999998
0.5978,0.15763,0.038201
0.30898000000000003,0.22712,0.016662
0.73043,0.64756,0.025387
0.7639600000000001,0.24999000000000002,0.031013
0.39649,0.17631,0.039984
0.43136,0.22227,0.037963
0.5966,0.26923,0.032806999999999996
0.7069300000000001,0.30829,0.038738999999999996
0.51762,0.20972,0.031097000000000003
0.7368100000000001,0.58641,0.029004000000000002
0.65841,0.49993999999999994,0.010911
0.25159000000000004,0.16395,0.042132
0.27105,0.17239000000000002,0.025718
0.21759,0.10530999999999999,0.035887
0.28417,0.15357,0.01022
0.58773,0.47783000000000003,0.018584
0.7467,0.30816,0.020054
0.29172,0.23253000000000001,0.031327
0.36414,0.21793,0.042256
0.6695399999999999,0.41797,0.027880000000000002
0.62636,0.49505,0.024362
0.23385999999999998,0.16679000000000002,0.010729
0.18704,0.1301,0.035894999999999996
0.65987,0.22401999999999997,0.035416
0.52912,0.41971,0.036095999999999996
0.25934,0.20281,0.016986
0.66733,0.57227,0.04228
0.68975,0.17453,0.011733
0.68589,0.59431,0.025394999999999997
0.23026999999999997,0.11139,0.024887
0.45156,0.26597,0.042815
0.7045399999999999,0.19793,0.041962
0.31558,0.1073,0.013402
0.49675,0.30584,0.04805
0.16175,0.10883,0.044402
0.52544,0.41875,0.046588
0.79671,0.29930999999999996,0.021961
0.31513,0.15984,0.049373
0.55867,0.28915,0.043439
0.33610999999999996,0.28355,0.027344
0.24219000000000002,0.18184,0.027901
0.27469,0.13737,0.045949000000000004
0.68647,0.3309,0.012240000000000001
0.31061,0.16679000000000002,0.021977
0.20307999999999998,0.11814000000000001,0.040348
0.65837,0.46335,0.033076999999999995
0.54465,0.47728000000000004,0.013953
0.27071999999999996,0.16059,0.011766
0.76999,0.5894,0.033108
0.20402,0.14582,0.039689999999999996
0.53075,0.20302,0.017461
0.5943,0.35541999999999996,0.047087000000000004
0.33971999999999997,0.11097,0.014182
0.56693,0.23089,0.024719
0.7329600000000001,0.4234,0.027629
0.26659,0.19805,0.012987
0.48972,0.12365999999999999,0.038322
0.5111600000000001,0.2069,0.019429
0.35962,0.23574,0.010889
0.68142,0.381,0.015146000000000001
0.40105,0.14026,0.020419999999999997
0.76176,0.5694899999999999,0.037711
0.73152,0.26742,0.011307
0.5292399999999999,0.35545,0.040846
0.6350899999999999,0.13625,0.048725
0.59942,0.32372,0.042171
0.45702,0.16519,0.047086
0.33705,0.10382999999999999,0.019906999999999998
0.43349,0.36119,0.024659
0.53078,0.37466,0.020158000000000002
